written by TR 
32.54870000 44.35340000 10.84660000 
32.56060000 45.75980000 10.60400000 
31.34270000 46.44610000 10.31920000 
31.34920000 47.85900000 10.11690000 
32.58050000 48.58000000 10.14630000 
32.58780000 49.99330000 9.94683000 
31.35660000 50.69530000 9.77610000 
31.35930000 52.11680000 9.64105000 
32.59550000 52.83150000 9.62816000 
32.59840000 54.25450000 9.50944000 
107.60700000 54.96560000 9.44007000 
108.84600000 57.10530000 9.34374000 
72.13120000 65.69510000 10.87310000 
34.00840000 1.09359000 10.80450000 
35.23960000 1.81417000 10.87290000 
35.23290000 3.24459000 10.89500000 
33.99860000 3.96428000 10.86800000 
33.98650000 5.38907000 10.99930000 
